vertex,deleted,colored,org_deg,color
42,49,50,49,50
37,49,49,49,49
49,49,48,49,48
1,49,47,49,47
6,49,46,49,46
26,49,45,49,45
10,49,44,49,44
25,49,43,49,43
47,49,42,49,42
29,49,41,49,41
11,49,40,49,40
28,49,39,49,39
44,49,38,49,38
48,49,37,49,37
45,49,36,49,36
7,49,35,49,35
18,49,34,49,34
4,49,33,49,33
30,49,32,49,32
20,49,31,49,31
23,49,30,49,30
8,49,29,49,29
50,49,28,49,28
2,49,27,49,27
32,49,26,49,26
43,49,25,49,25
33,49,24,49,24
13,49,23,49,23
22,49,22,49,22
12,49,21,49,21
31,49,20,49,20
9,49,19,49,19
41,49,18,49,18
34,49,17,49,17
35,49,16,49,16
46,49,15,49,15
38,49,14,49,14
21,49,13,49,13
39,49,12,49,12
40,49,11,49,11
16,49,10,49,10
17,49,9,49,9
5,49,8,49,8
24,49,7,49,7
36,49,6,49,6
19,49,5,49,5
14,49,4,49,4
3,49,3,49,3
27,49,2,49,2
15,49,1,49,1
